ProjectID,EmployeeID,Project_Name,Project_Description,Tech_Stack_Used,Domain,Project_Role,Project_Success_Score,Individual_Performance_Score
5003,1320,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, Kafka, AWS, Kubernetes.","React,Java,Kafka,AWS,Kubernetes",Fintech,SRE,0.83,0.87
5004,1812,Inventory Management System,"Developed a centralized system to track inventory across multiple warehouses, providing real-time updates to the storefront. The project utilized a tech stack including Docker, Vue.js, GCP.","Docker,Vue.js,GCP",E-commerce,UX Researcher,0.73,0.81
5004,2053,Inventory Management System,"Developed a centralized system to track inventory across multiple warehouses, providing real-time updates to the storefront. The project utilized a tech stack including Docker, Vue.js, GCP.","Docker,Vue.js,GCP",E-commerce,ML Engineer,0.73,0.71
5004,1471,Inventory Management System,"Developed a centralized system to track inventory across multiple warehouses, providing real-time updates to the storefront. The project utilized a tech stack including Docker, Vue.js, GCP.","Docker,Vue.js,GCP",E-commerce,Automation Tester,0.73,0.7
5004,2028,Inventory Management System,"Developed a centralized system to track inventory across multiple warehouses, providing real-time updates to the storefront. The project utilized a tech stack including Docker, Vue.js, GCP.","Docker,Vue.js,GCP",E-commerce,Frontend Developer,0.73,0.74
5004,2047,Inventory Management System,"Developed a centralized system to track inventory across multiple warehouses, providing real-time updates to the storefront. The project utilized a tech stack including Docker, Vue.js, GCP.","Docker,Vue.js,GCP",E-commerce,Tech Lead,0.73,0.76
5005,1214,Patient Data Analytics Platform,"Engineered a HIPAA-compliant data platform on Azure to process electronic health records (EHR) using Spark, enabling predictive diagnostics. The project utilized a tech stack including SQL, Java, Docker, FHIR, Python.","SQL,Java,Docker,FHIR,Python",Healthcare,Program Manager,0.68,0.58
5005,1880,Patient Data Analytics Platform,"Engineered a HIPAA-compliant data platform on Azure to process electronic health records (EHR) using Spark, enabling predictive diagnostics. The project utilized a tech stack including SQL, Java, Docker, FHIR, Python.","SQL,Java,Docker,FHIR,Python",Healthcare,Frontend Lead,0.68,0.75
5006,1655,Telemedicine Video Conferencing App,"Launched a cross-platform mobile app for secure doctor-patient video consultations, integrating with the FHIR standard for data exchange. The project utilized a tech stack including TensorFlow, SQL, Java, Azure, Python.","TensorFlow,SQL,Java,Azure,Python",Healthcare,Program Manager,0.68,0.61
5006,1428,Telemedicine Video Conferencing App,"Launched a cross-platform mobile app for secure doctor-patient video consultations, integrating with the FHIR standard for data exchange. The project utilized a tech stack including TensorFlow, SQL, Java, Azure, Python.","TensorFlow,SQL,Java,Azure,Python",Healthcare,Backend Lead,0.68,0.62
5006,1760,Telemedicine Video Conferencing App,"Launched a cross-platform mobile app for secure doctor-patient video consultations, integrating with the FHIR standard for data exchange. The project utilized a tech stack including TensorFlow, SQL, Java, Azure, Python.","TensorFlow,SQL,Java,Azure,Python",Healthcare,System Designer,0.68,0.63
5006,1598,Telemedicine Video Conferencing App,"Launched a cross-platform mobile app for secure doctor-patient video consultations, integrating with the FHIR standard for data exchange. The project utilized a tech stack including TensorFlow, SQL, Java, Azure, Python.","TensorFlow,SQL,Java,Azure,Python",Healthcare,Cloud Engineer,0.68,0.75
5006,1550,Telemedicine Video Conferencing App,"Launched a cross-platform mobile app for secure doctor-patient video consultations, integrating with the FHIR standard for data exchange. The project utilized a tech stack including TensorFlow, SQL, Java, Azure, Python.","TensorFlow,SQL,Java,Azure,Python",Healthcare,SRE,0.68,0.67
5006,1831,Telemedicine Video Conferencing App,"Launched a cross-platform mobile app for secure doctor-patient video consultations, integrating with the FHIR standard for data exchange. The project utilized a tech stack including TensorFlow, SQL, Java, Azure, Python.","TensorFlow,SQL,Java,Azure,Python",Healthcare,Automation Tester,0.68,0.69
5007,1066,Scalable Shopping Cart API,"Built a highly available shopping cart and checkout service using Java and MongoDB, deployed on GCP with Kubernetes for auto-scaling during peak traffic. The project utilized a tech stack including Docker, SQL, Vue.js, MongoDB.","Docker,SQL,Vue.js,MongoDB",E-commerce,CI/CD Specialist,0.68,0.68
5007,1903,Scalable Shopping Cart API,"Built a highly available shopping cart and checkout service using Java and MongoDB, deployed on GCP with Kubernetes for auto-scaling during peak traffic. The project utilized a tech stack including Docker, SQL, Vue.js, MongoDB.","Docker,SQL,Vue.js,MongoDB",E-commerce,SRE,0.68,0.66
5007,1984,Scalable Shopping Cart API,"Built a highly available shopping cart and checkout service using Java and MongoDB, deployed on GCP with Kubernetes for auto-scaling during peak traffic. The project utilized a tech stack including Docker, SQL, Vue.js, MongoDB.","Docker,SQL,Vue.js,MongoDB",E-commerce,Performance Tester,0.68,0.63
5007,2025,Scalable Shopping Cart API,"Built a highly available shopping cart and checkout service using Java and MongoDB, deployed on GCP with Kubernetes for auto-scaling during peak traffic. The project utilized a tech stack including Docker, SQL, Vue.js, MongoDB.","Docker,SQL,Vue.js,MongoDB",E-commerce,Frontend Developer,0.68,0.71
5007,1118,Scalable Shopping Cart API,"Built a highly available shopping cart and checkout service using Java and MongoDB, deployed on GCP with Kubernetes for auto-scaling during peak traffic. The project utilized a tech stack including Docker, SQL, Vue.js, MongoDB.","Docker,SQL,Vue.js,MongoDB",E-commerce,Module Owner,0.68,0.7
5007,1362,Scalable Shopping Cart API,"Built a highly available shopping cart and checkout service using Java and MongoDB, deployed on GCP with Kubernetes for auto-scaling during peak traffic. The project utilized a tech stack including Docker, SQL, Vue.js, MongoDB.","Docker,SQL,Vue.js,MongoDB",E-commerce,Manual Tester,0.68,0.66
5008,1621,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Angular, Go, Python, Kubernetes.","Angular,Go,Python,Kubernetes",SaaS,SRE,0.83,0.81
5008,1335,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Angular, Go, Python, Kubernetes.","Angular,Go,Python,Kubernetes",SaaS,Performance Tester,0.83,0.84
5008,1965,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Angular, Go, Python, Kubernetes.","Angular,Go,Python,Kubernetes",SaaS,Bug Fixer,0.83,0.78
5008,1691,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Angular, Go, Python, Kubernetes.","Angular,Go,Python,Kubernetes",SaaS,Product Owner,0.83,0.87
5008,1980,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Angular, Go, Python, Kubernetes.","Angular,Go,Python,Kubernetes",SaaS,System Designer,0.83,0.74
5009,1550,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, AWS, PostgreSQL, Python.","React,Java,AWS,PostgreSQL,Python",Fintech,Cloud Engineer,0.83,0.81
5009,2035,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, AWS, PostgreSQL, Python.","React,Java,AWS,PostgreSQL,Python",Fintech,Lead Designer,0.83,0.83
5009,1215,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, AWS, PostgreSQL, Python.","React,Java,AWS,PostgreSQL,Python",Fintech,Research Scientist,0.83,0.88
5009,2024,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, AWS, PostgreSQL, Python.","React,Java,AWS,PostgreSQL,Python",Fintech,Research Scientist,0.83,0.89
5009,2147,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, AWS, PostgreSQL, Python.","React,Java,AWS,PostgreSQL,Python",Fintech,Module Owner,0.83,0.9
5009,1571,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including React, Java, AWS, PostgreSQL, Python.","React,Java,AWS,PostgreSQL,Python",Fintech,Manual Tester,0.83,0.92
5010,1528,Real-time Fraud Detection Engine,"Built an AI/ML model using Python and TensorFlow to analyze transaction patterns in real-time, reducing fraudulent activities by 15%. The project utilized a tech stack including Java, Python, Kafka, AWS, Kubernetes.","Java,Python,Kafka,AWS,Kubernetes",Fintech,Backend Lead,0.97,0.92
5010,1400,Real-time Fraud Detection Engine,"Built an AI/ML model using Python and TensorFlow to analyze transaction patterns in real-time, reducing fraudulent activities by 15%. The project utilized a tech stack including Java, Python, Kafka, AWS, Kubernetes.","Java,Python,Kafka,AWS,Kubernetes",Fintech,Frontend Developer,0.97,0.92
5010,1699,Real-time Fraud Detection Engine,"Built an AI/ML model using Python and TensorFlow to analyze transaction patterns in real-time, reducing fraudulent activities by 15%. The project utilized a tech stack including Java, Python, Kafka, AWS, Kubernetes.","Java,Python,Kafka,AWS,Kubernetes",Fintech,Product Owner,0.97,1.0
5010,2172,Real-time Fraud Detection Engine,"Built an AI/ML model using Python and TensorFlow to analyze transaction patterns in real-time, reducing fraudulent activities by 15%. The project utilized a tech stack including Java, Python, Kafka, AWS, Kubernetes.","Java,Python,Kafka,AWS,Kubernetes",Fintech,Program Manager,0.97,1.0
5010,1590,Real-time Fraud Detection Engine,"Built an AI/ML model using Python and TensorFlow to analyze transaction patterns in real-time, reducing fraudulent activities by 15%. The project utilized a tech stack including Java, Python, Kafka, AWS, Kubernetes.","Java,Python,Kafka,AWS,Kubernetes",Fintech,Tech Lead,0.97,0.94
5011,1888,AI-Powered Medical Imaging Analysis,"Designed a deep learning model with PyTorch to detect anomalies in MRI scans, achieving 95% accuracy in clinical trials. The project utilized a tech stack including SQL, Docker, FHIR, Azure, Python.","SQL,Docker,FHIR,Azure,Python",Healthcare,System Designer,0.77,0.76
5011,1504,AI-Powered Medical Imaging Analysis,"Designed a deep learning model with PyTorch to detect anomalies in MRI scans, achieving 95% accuracy in clinical trials. The project utilized a tech stack including SQL, Docker, FHIR, Azure, Python.","SQL,Docker,FHIR,Azure,Python",Healthcare,Junior Coder,0.77,0.82
5011,1726,AI-Powered Medical Imaging Analysis,"Designed a deep learning model with PyTorch to detect anomalies in MRI scans, achieving 95% accuracy in clinical trials. The project utilized a tech stack including SQL, Docker, FHIR, Azure, Python.","SQL,Docker,FHIR,Azure,Python",Healthcare,Solution Architect,0.77,0.74
5011,1246,AI-Powered Medical Imaging Analysis,"Designed a deep learning model with PyTorch to detect anomalies in MRI scans, achieving 95% accuracy in clinical trials. The project utilized a tech stack including SQL, Docker, FHIR, Azure, Python.","SQL,Docker,FHIR,Azure,Python",Healthcare,Interaction Designer,0.77,0.66
5011,1029,AI-Powered Medical Imaging Analysis,"Designed a deep learning model with PyTorch to detect anomalies in MRI scans, achieving 95% accuracy in clinical trials. The project utilized a tech stack including SQL, Docker, FHIR, Azure, Python.","SQL,Docker,FHIR,Azure,Python",Healthcare,Manual Tester,0.77,0.8
5012,1745,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including AWS, Go, Kubernetes, Python.","AWS,Go,Kubernetes,Python",Cybersecurity,Lead Designer,0.67,0.74
5012,1219,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including AWS, Go, Kubernetes, Python.","AWS,Go,Kubernetes,Python",Cybersecurity,Tech Lead,0.67,0.63
5012,1558,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including AWS, Go, Kubernetes, Python.","AWS,Go,Kubernetes,Python",Cybersecurity,Tech Lead,0.67,0.57
5012,2169,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including AWS, Go, Kubernetes, Python.","AWS,Go,Kubernetes,Python",Cybersecurity,ML Engineer,0.67,0.66
5012,1960,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including AWS, Go, Kubernetes, Python.","AWS,Go,Kubernetes,Python",Cybersecurity,Lead Designer,0.67,0.69
5012,1190,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including AWS, Go, Kubernetes, Python.","AWS,Go,Kubernetes,Python",Cybersecurity,Tech Lead,0.67,0.67
5013,1889,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including Bash, Go, Python.","Bash,Go,Python",Cybersecurity,Performance Tester,0.67,0.67
5013,1364,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including Bash, Go, Python.","Bash,Go,Python",Cybersecurity,Lead Developer,0.67,0.68
5013,1109,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including Bash, Go, Python.","Bash,Go,Python",Cybersecurity,Performance Tester,0.67,0.7
5013,1567,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including Bash, Go, Python.","Bash,Go,Python",Cybersecurity,Lead Designer,0.67,0.7
5013,1258,SIEM Integration Pipeline,"Developed a data pipeline to ingest security logs from various sources into an Elasticsearch cluster for real-time threat analysis. The project utilized a tech stack including Bash, Go, Python.","Bash,Go,Python",Cybersecurity,Cloud Engineer,0.67,0.63
5014,1240,Real-time Fraud Detection Engine,"Built an AI/ML model using Python and TensorFlow to analyze transaction patterns in real-time, reducing fraudulent activities by 15%. The project utilized a tech stack including Java, Kubernetes, PostgreSQL, Kafka.","Java,Kubernetes,PostgreSQL,Kafka",Fintech,System Designer,0.82,0.83
5014,1210,Real-time Fraud Detection Engine,"Built an AI/ML model using Python and TensorFlow to analyze transaction patterns in real-time, reducing fraudulent activities by 15%. The project utilized a tech stack including Java, Kubernetes, PostgreSQL, Kafka.","Java,Kubernetes,PostgreSQL,Kafka",Fintech,Solution Architect,0.82,0.94
5015,1735,Patient Data Analytics Platform,"Engineered a HIPAA-compliant data platform on Azure to process electronic health records (EHR) using Spark, enabling predictive diagnostics. The project utilized a tech stack including TensorFlow, SQL, Docker, FHIR, Azure.","TensorFlow,SQL,Docker,FHIR,Azure",Healthcare,Frontend Developer,0.72,0.66
5015,1072,Patient Data Analytics Platform,"Engineered a HIPAA-compliant data platform on Azure to process electronic health records (EHR) using Spark, enabling predictive diagnostics. The project utilized a tech stack including TensorFlow, SQL, Docker, FHIR, Azure.","TensorFlow,SQL,Docker,FHIR,Azure",Healthcare,Module Owner,0.72,0.76
5015,1610,Patient Data Analytics Platform,"Engineered a HIPAA-compliant data platform on Azure to process electronic health records (EHR) using Spark, enabling predictive diagnostics. The project utilized a tech stack including TensorFlow, SQL, Docker, FHIR, Azure.","TensorFlow,SQL,Docker,FHIR,Azure",Healthcare,Scrum Master,0.72,0.72
5016,1625,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including AWS, Java, Python, Kubernetes.","AWS,Java,Python,Kubernetes",Fintech,Performance Tester,0.7,0.71
5016,1508,Payment Gateway Integration,"Developed a microservices-based payment gateway for processing credit card and ACH transactions, ensuring PCI compliance and high availability on AWS. The project utilized a tech stack including AWS, Java, Python, Kubernetes.","AWS,Java,Python,Kubernetes",Fintech,Junior Coder,0.7,0.73
5017,1321,Customer Data Platform (CDP),"Built a platform to aggregate and unify customer data from multiple sources, providing a 360-degree view for marketing and support teams. The project utilized a tech stack including AWS, Go, Python, Kubernetes.","AWS,Go,Python,Kubernetes",SaaS,UX Researcher,0.95,1.0
5017,1909,Customer Data Platform (CDP),"Built a platform to aggregate and unify customer data from multiple sources, providing a 360-degree view for marketing and support teams. The project utilized a tech stack including AWS, Go, Python, Kubernetes.","AWS,Go,Python,Kubernetes",SaaS,Junior Coder,0.95,1.0
5017,1971,Customer Data Platform (CDP),"Built a platform to aggregate and unify customer data from multiple sources, providing a 360-degree view for marketing and support teams. The project utilized a tech stack including AWS, Go, Python, Kubernetes.","AWS,Go,Python,Kubernetes",SaaS,Performance Tester,0.95,0.94
5018,1850,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including AWS, Python, Kubernetes.","AWS,Python,Kubernetes",Cybersecurity,System Designer,0.66,0.65
5018,1964,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including AWS, Python, Kubernetes.","AWS,Python,Kubernetes",Cybersecurity,Module Owner,0.66,0.71
5018,2115,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including AWS, Python, Kubernetes.","AWS,Python,Kubernetes",Cybersecurity,SRE,0.66,0.61
5018,1252,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including AWS, Python, Kubernetes.","AWS,Python,Kubernetes",Cybersecurity,Scrum Master,0.66,0.62
5018,1927,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including AWS, Python, Kubernetes.","AWS,Python,Kubernetes",Cybersecurity,ML Engineer,0.66,0.66
5018,2030,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including AWS, Python, Kubernetes.","AWS,Python,Kubernetes",Cybersecurity,Code Reviewer,0.66,0.53
5019,2110,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Kubernetes, PostgreSQL, Python.","Kubernetes,PostgreSQL,Python",SaaS,Backend Developer,0.65,0.72
5019,1327,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Kubernetes, PostgreSQL, Python.","Kubernetes,PostgreSQL,Python",SaaS,Frontend Lead,0.65,0.75
5019,1330,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Kubernetes, PostgreSQL, Python.","Kubernetes,PostgreSQL,Python",SaaS,Performance Tester,0.65,0.63
5019,1199,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Kubernetes, PostgreSQL, Python.","Kubernetes,PostgreSQL,Python",SaaS,Frontend Developer,0.65,0.67
5019,1462,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Kubernetes, PostgreSQL, Python.","Kubernetes,PostgreSQL,Python",SaaS,Interaction Designer,0.65,0.61
5019,1403,Subscription Billing Platform,"Engineered a flexible billing system to handle various subscription tiers, usage-based pricing, and invoicing for a growing SaaS product. The project utilized a tech stack including Kubernetes, PostgreSQL, Python.","Kubernetes,PostgreSQL,Python",SaaS,Lead Developer,0.65,0.65
5020,1076,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including Elasticsearch, AWS, Python.","Elasticsearch,AWS,Python",Cybersecurity,Backend Lead,0.79,0.84
5020,1288,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including Elasticsearch, AWS, Python.","Elasticsearch,AWS,Python",Cybersecurity,Module Owner,0.79,0.79
5020,1802,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including Elasticsearch, AWS, Python.","Elasticsearch,AWS,Python",Cybersecurity,System Designer,0.79,0.8
5020,1897,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including Elasticsearch, AWS, Python.","Elasticsearch,AWS,Python",Cybersecurity,Bug Fixer,0.79,0.8
5020,1291,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including Elasticsearch, AWS, Python.","Elasticsearch,AWS,Python",Cybersecurity,Program Manager,0.79,0.86
5020,1857,Automated Penetration Testing Framework,"Built a framework using Python and Go to automate routine security vulnerability scans across the company's web assets. The project utilized a tech stack including Elasticsearch, AWS, Python.","Elasticsearch,AWS,Python",Cybersecurity,Frontend Lead,0.79,0.77
5021,2110,Customer Data Platform (CDP),"Built a platform to aggregate and unify customer data from multiple sources, providing a 360-degree view for marketing and support teams. The project utilized a tech stack including AWS, PostgreSQL, Python.","AWS,PostgreSQL,Python",SaaS,Bug Fixer,0.82,0.84
5021,1130,Customer Data Platform (CDP),"Built a platform to aggregate and unify customer data from multiple sources, providing a 360-degree view for marketing and support teams. The project utilized a tech stack including AWS, PostgreSQL, Python.","AWS,PostgreSQL,Python",SaaS,Manual Tester,0.82,0.87
5021,1706,Customer Data Platform (CDP),"Built a platform to aggregate and unify customer data from multiple sources, providing a 360-degree view for marketing and support teams. The project utilized a tech stack including AWS, PostgreSQL, Python.","AWS,PostgreSQL,Python",SaaS,Tech Lead,0.82,0.83
5021,2078,Customer Data Platform (CDP),"Built a platform to aggregate and unify customer data from multiple sources, providing a 360-degree view for marketing and support teams. The project utilized a tech stack including AWS, PostgreSQL, Python.","AWS,PostgreSQL,Python",SaaS,Research Scientist,0.82,0.74
5021,1747,Customer Data Platform (CDP),"Built a platform to aggregate and unify customer data from multiple sources, providing a 360-degree view for marketing and support teams. The project utilized a tech stack including AWS, PostgreSQL, Python.","AWS,PostgreSQL,Python",SaaS,Data Analyst,0.82,0.84
5022,2029,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Python, AWS, PostgreSQL, Kubernetes.","Go,Python,AWS,PostgreSQL,Kubernetes",SaaS,ML Engineer,0.87,0.84
5022,1693,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Python, AWS, PostgreSQL, Kubernetes.","Go,Python,AWS,PostgreSQL,Kubernetes",SaaS,Bug Fixer,0.87,0.83
5022,1384,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Python, AWS, PostgreSQL, Kubernetes.","Go,Python,AWS,PostgreSQL,Kubernetes",SaaS,Solution Architect,0.87,0.9
5022,1927,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Python, AWS, PostgreSQL, Kubernetes.","Go,Python,AWS,PostgreSQL,Kubernetes",SaaS,Data Analyst,0.87,0.93
5022,1756,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including Go, Python, AWS, PostgreSQL, Kubernetes.","Go,Python,AWS,PostgreSQL,Kubernetes",SaaS,Data Analyst,0.87,0.87
5023,1368,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including AWS, Kubernetes, Python.","AWS,Kubernetes,Python",SaaS,System Designer,0.67,0.66
5023,2149,Multi-tenant User Authentication Service,"Created a secure and scalable authentication and authorization service for a B2B SaaS platform, supporting OAuth 2.0 and SAML. The project utilized a tech stack including AWS, Kubernetes, Python.","AWS,Kubernetes,Python",SaaS,CI/CD Specialist,0.67,0.59
5024,1091,Inventory Management System,"Developed a centralized system to track inventory across multiple warehouses, providing real-time updates to the storefront. The project utilized a tech stack including SQL, Vue.js, React, MongoDB.","SQL,Vue.js,React,MongoDB",E-commerce,Lead Developer,0.9,0.9
5024,1064,Inventory Management System,"Developed a centralized system to track inventory across multiple warehouses, providing real-time updates to the storefront. The project utilized a tech stack including SQL, Vue.js, React, MongoDB.","SQL,Vue.js,React,MongoDB",E-commerce,Lead Designer,0.9,0.95
